epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,879.997,1.11371,0.72728,1.18251,0.81031,0.66147,0.74945,0.4894,1.57701,1.12615,1.55465,0.0001882,0.0001882,0.0001882
43,900.11,1.09299,0.70312,1.17684,0.75644,0.702,0.75308,0.48806,1.57049,1.08301,1.54414,0.0001684,0.0001684,0.0001684
44,921.121,1.06565,0.66803,1.15321,0.80524,0.68044,0.76548,0.49551,1.59434,1.05094,1.56282,0.0001486,0.0001486,0.0001486
45,940.901,1.10143,0.7026,1.17394,0.80354,0.67377,0.76654,0.4998,1.57921,1.07662,1.54715,0.0001288,0.0001288,0.0001288
46,960.686,1.07032,0.6646,1.14306,0.83262,0.64902,0.76413,0.49486,1.5653,1.10043,1.53987,0.000109,0.000109,0.000109
47,980.775,1.07977,0.66246,1.15998,0.81733,0.67297,0.75927,0.49445,1.55873,1.10262,1.54661,8.92e-05,8.92e-05,8.92e-05
48,1001.25,1.05287,0.66909,1.15249,0.78165,0.68908,0.76576,0.49354,1.57,1.05377,1.54933,6.94e-05,6.94e-05,6.94e-05
49,1021.47,1.05267,0.66984,1.14716,0.78874,0.67265,0.75742,0.49078,1.57656,1.05619,1.54803,4.96e-05,4.96e-05,4.96e-05
50,1041.8,1.036,0.64857,1.14732,0.82998,0.65857,0.75723,0.49394,1.57638,1.05592,1.54755,2.98e-05,2.98e-05,2.98e-05
1,24.7435,1.16522,0.90218,1.20916,0.59546,0.38781,0.43858,0.26453,1.86754,2.39896,1.80176,0.08218,0.00018,0.00018
2,49.4234,1.16903,0.8955,1.19655,0.39701,0.35053,0.31665,0.19799,1.79707,3.07684,1.75288,0.0633517,0.000351685,0.000351685
3,71.9643,1.19305,0.9299,1.21072,0.57629,0.46781,0.48298,0.31072,1.74803,2.23258,1.72781,0.0445046,0.00050456,0.00050456
4,92.6269,1.15575,0.85815,1.18947,0.83211,0.55107,0.68428,0.43916,1.64298,1.29211,1.6236,0.0256386,0.000638625,0.000638625
5,114.961,1.19051,0.87016,1.19273,0.74996,0.63684,0.71644,0.45717,1.64683,1.20732,1.64526,0.00675388,0.00075388,0.00075388
6,136.625,1.20169,0.89036,1.2215,0.75019,0.62449,0.72174,0.454,1.66531,1.20992,1.60348,0.0007525,0.0007525,0.0007525
7,157.982,1.1703,0.86279,1.20343,0.64862,0.67808,0.6705,0.4219,1.69099,1.37319,1.63881,0.000703,0.000703,0.000703
8,178.245,1.1898,0.87485,1.20122,0.71752,0.66853,0.69093,0.43389,1.71661,1.28383,1.67795,0.0006535,0.0006535,0.0006535
9,199.976,1.15884,0.83285,1.1939,0.75615,0.64344,0.68655,0.43209,1.71139,1.32206,1.6633,0.000604,0.000604,0.000604
10,219.35,1.14206,0.83166,1.18009,0.76238,0.65452,0.71892,0.44554,1.71634,1.23483,1.66886,0.0005545,0.0005545,0.0005545
11,247.014,1.20406,0.85131,1.23292,0.73105,0.55913,0.62066,0.41128,1.6407,1.64059,1.67426,0.000505,0.000505,0.000505
12,267.77,1.15426,0.81394,1.21993,0.75456,0.63193,0.68148,0.43572,1.6227,1.30278,1.56139,0.0004555,0.0004555,0.0004555
13,286.152,1.18932,0.79626,1.22959,0.7771,0.6344,0.72388,0.46745,1.60605,1.13411,1.54686,0.000406,0.000406,0.000406
14,305.594,1.14548,0.78056,1.22397,0.76483,0.65988,0.74089,0.4773,1.58413,1.11418,1.5431,0.0003565,0.0003565,0.0003565
15,326.065,1.11848,0.74911,1.20186,0.76156,0.67975,0.76115,0.48937,1.58972,1.04301,1.55475,0.000307,0.000307,0.000307
16,345.364,1.1155,0.71334,1.20055,0.7775,0.67751,0.74669,0.47527,1.61226,1.14857,1.58344,0.0002575,0.0002575,0.0002575
17,365.208,1.08658,0.67289,1.16759,0.76326,0.69389,0.74986,0.48043,1.59562,1.08778,1.53118,0.000208,0.000208,0.000208
18,385.435,1.09559,0.69539,1.18091,0.73201,0.72576,0.75377,0.48912,1.56353,1.05651,1.52255,0.0001585,0.0001585,0.0001585
19,403.788,1.06324,0.65958,1.15269,0.79669,0.68744,0.75838,0.49164,1.57087,1.08963,1.5429,0.000109,0.000109,0.000109
20,424.61,1.03695,0.63077,1.14249,0.83361,0.66904,0.76582,0.49135,1.58267,1.09336,1.54479,5.95e-05,5.95e-05,5.95e-05
1,24.7416,1.30276,1.12924,1.27303,0.7023,0.37681,0.41656,0.26143,1.85469,2.61755,1.73299,0.08218,0.00018,0.00018
2,45.3282,1.31009,1.16863,1.25967,0.65083,0.49983,0.55608,0.33881,1.77336,2.03486,1.6463,0.0633517,0.000351685,0.000351685
3,65.7706,1.33627,1.22784,1.27977,0.76911,0.53418,0.64193,0.38176,1.68907,1.58905,1.59344,0.0445046,0.00050456,0.00050456
1,30.0583,1.30276,1.12924,1.27303,0.7023,0.37681,0.41656,0.26143,1.85469,2.61755,1.73299,0.08218,0.00018,0.00018
2,51.546,1.31009,1.16863,1.25967,0.65083,0.49983,0.55608,0.33881,1.77336,2.03486,1.6463,0.0633517,0.000351685,0.000351685
